layer,matrix,variant,mean_kurtosis,mean_max_std_ratio,frob_norm,delta_frob_over_W_frob
6,up_proj,svmo,0.5259476419869202,4.1816570661735755,129.56308856161002,3.893453686032444e-05
6,up_proj,lora,0.5252407577732974,4.181208610885508,129.60611116834662,0.02606200985610485
6,down_proj,base,2.166116643773872,5.339592080657072,127.49726315056681,0.0
6,down_proj,svmo,2.165994731838914,5.339578172758506,127.50506182460802,0.00018129254749510437
6,down_proj,lora,2.1597230431747816,5.338564565447101,127.54138175224065,0.026304516941308975
7,q_proj,base,0.5997892981578808,4.711438205656157,60.84211120174033,0.0
7,q_proj,svmo,0.5997752487366425,4.7113801112922955,60.832608668627934,0.0003150849661324173
7,q_proj,lora,0.5980099689383855,4.709203056147146,60.860595836865585,0.024626363068819046
7,k_proj,base,1.0473600999533828,5.101555911825212,23.838766641183337,0.0
7,k_proj,svmo,1.0476236456085104,5.101798794398876,23.844719126772112,0.0003443567838985473
7,k_proj,lora,1.044282181924547,5.099566544966712,23.845015080963837,0.023636607453227043
7,v_proj,base,0.6407787455516627,4.665958350495293,24.66981771675622,0.0
7,v_proj,svmo,0.6407797148896198,4.666056996804501,24.65266735348852,0.001168908434920013
7,v_proj,lora,0.6401064278961679,4.664929399432096,24.676346762599056,0.023198110982775688
7,o_proj,base,0.7552586803212451,4.562306079887994,60.25448917659833,0.0
7,o_proj,svmo,0.7542819475024333,4.5611118350746835,60.22537843220393,0.0010386270005255938
7,o_proj,lora,0.7540572395675241,4.561102389416747,60.27142986116496,0.02397993952035904
7,gate_proj,base,0.7998963423285584,4.352947534542201,141.5222610682351,0.0
7,gate_proj,svmo,0.8000199368834715,4.353305942781013,141.5373539222259,0.0002901094558183104
7,gate_proj,lora,0.7987568750847999,4.3528416329745765,141.56158341090415,0.02345949411392212
7,up_proj,base,0.6331809808267248,4.26011471542312,133.06408461915774,0.0
7,up_proj,svmo,0.633177705554156,4.260015053345627,133.0384800307406,0.0007333321846090257
7,up_proj,lora,0.6323286453117675,4.259861811003745,133.10505875953305,0.024939196184277534
7,down_proj,base,1.9156916226234115,5.414431353886153,132.54062452668177,0.0
7,down_proj,svmo,1.9158846697744658,5.414505092523945,132.5320802774404,0.00022564679966308177
7,down_proj,lora,1.9109022924393837,5.413035494965741,132.58227590715256,0.024966256693005562
8,q_proj,base,0.7023882630779504,4.838097756397851,63.32849647751639,0.0
8,q_proj,svmo,0.7024782299812443,4.8382693545630735,63.348358428975665,0.0006600457709282637
8,q_proj,lora,0.7014437900572117,4.836971335806388,63.34487528580474,0.023038025945425034
8,k_proj,base,1.1476016276587695,5.066587331953709,27.271296699826113,0.0
8,k_proj,svmo,1.1479375468132913,5.0671810282887115,27.290960965956888,0.001008561346679926
8,k_proj,lora,1.1452206423828453,5.063158751870296,27.27724947814656,0.022623658180236816
8,v_proj,base,0.3317765193735696,4.176537850051197,20.602176005532943,0.0
8,v_proj,svmo,0.3318025644166277,4.176596138405056,20.59609077254247,0.0004891993012279272
8,v_proj,lora,0.3310504438615761,4.176294036195254,20.610458502791666,0.028005028143525124
8,o_proj,base,0.7411745179598859,4.556740891344598,55.18688444582507,0.0
8,o_proj,svmo,0.7412420657145125,4.556847393509341,55.19191255559957,0.00019618224177975208
8,o_proj,lora,0.739984286388461,4.556057514679382,55.20572099324596,0.02651708573102951
8,gate_proj,base,0.6233924486005901,4.3227630529559615,138.98714149031042,0.0
8,gate_proj,svmo,0.6234336204240206,4.322886895442966,138.99113745045375,7.85275551606901e-05
8,gate_proj,lora,0.6223041952859616,4.3223340143094875,139.02709928763312,0.02394244074821472
8,up_proj,base,0.473700301976751,4.1745667954895875,135.54066859502512,0.0
8,up_proj,svmo,0.4737100268911601,4.174618845914953,135.55565918201097,0.0004176186048425734
8,up_proj,lora,0.47313357112703525,4.1743984522014745,135.580797405387,0.02448432333767414
8,down_proj,base,1.9523933198426044,5.445022847953191,133.9759215393002,0.0
8,down_proj,svmo,1.9518487751229625,5.444864355219413,134.00173214963425,0.0006371011841110885
8,down_proj,lora,1.9484077472736447,5.444375898541145,134.01637301374242,0.02465801313519478
9,q_proj,base,0.7407770670244765,4.871527310188699,58.61718432857052,0.0
9,q_proj,svmo,0.7409858748513132,4.871776701211114,58.62994822295054,0.0004185581929050386
9,q_proj,lora,0.7396544469913868,4.870751910091441,58.63349012343893,0.023321937769651413
